customer_id,recency_invoice,frequency,total_spending,R_score,F_score,S_score,RFS_code,RFS_total,RFS_segment
174,12015176.0,10.0,9228.0,5,5,1,551,11,Loyal Visitors
176,11637460.0,3.0,14202.0,5,3,2,532,10,Loyal Visitors
179,589461.0,1.0,27298.0,1,1,4,114,6,Hibernating
180,9200849.0,3.0,53389.0,3,3,5,335,11,High Spenders
182,9067932.0,4.0,15592.0,3,4,2,342,9,Need Attention
184,2558823.0,2.0,21160.0,1,2,3,123,6,Hibernating
185,11666920.0,8.0,48879.0,5,5,5,555,15,Champions
186,10993649.0,3.0,40592.0,4,3,5,435,12,High Spenders
187,,,30939.0,,,4,---,4,No Basket History
188,10535684.0,2.0,17530.0,4,2,2,422,8,Promising
189,10689477.0,16.0,19905.0,4,5,3,453,12,Loyal Visitors
191,8991923.0,1.0,11344.0,3,1,1,311,5,Hibernating
192,8550774.0,3.0,11643.0,2,3,1,231,6,Hibernating
193,,,5497.0,,,1,---,1,No Basket History
195,,,10528.0,,,1,---,1,No Basket History
196,8806304.0,2.0,17160.0,3,2,2,322,7,At Risk
197,322193.0,1.0,22278.0,1,1,3,113,5,Hibernating
198,7643751.0,1.0,29734.0,2,1,4,214,7,At Risk
199,7582278.0,3.0,8160.0,2,3,1,231,6,Hibernating
200,10637599.0,1.0,50795.0,4,1,5,415,10,High Spenders
201,11764278.0,4.0,39351.0,5,4,5,545,14,Champions
202,9015726.0,2.0,25178.0,3,2,4,324,9,At Risk
203,10492050.0,3.0,16931.0,4,3,2,432,9,Promising
204,12175389.0,6.0,31976.0,5,5,4,554,14,Champions
205,8837991.0,1.0,24192.0,3,1,4,314,8,At Risk
206,11712024.0,6.0,21698.0,5,5,3,553,13,Champions
207,1717312.0,1.0,36352.0,1,1,5,115,7,At Risk
208,10972228.0,1.0,39279.0,4,1,5,415,10,High Spenders
210,,,16749.0,,,2,---,2,No Basket History
211,10459458.0,6.0,58270.0,4,5,5,455,14,Champions
212,10146269.0,6.0,35212.0,3,5,5,355,13,Champions
213,3229012.0,1.0,22881.0,1,1,3,113,5,Hibernating
214,10690228.0,5.0,10806.0,4,4,1,441,9,Promising
215,495732.0,1.0,44892.0,1,1,5,115,7,At Risk
216,8353505.0,2.0,18315.0,2,2,3,223,7,At Risk
217,,,26031.0,,,4,---,4,No Basket History
218,11313935.0,1.0,5889.0,4,1,1,411,6,Hibernating
219,,,14968.0,,,2,---,2,No Basket History
220,11532506.0,1.0,31636.0,5,1,4,514,10,High Spenders
221,9242814.0,4.0,33602.0,3,4,5,345,12,High Spenders
225,7666450.0,5.0,18002.0,2,4,3,243,9,Need Attention
226,11600762.0,4.0,18759.0,5,4,3,543,12,Loyal Visitors
229,12048338.0,5.0,65451.0,5,4,5,545,14,Champions
231,9166147.0,2.0,39835.0,3,2,5,325,10,High Spenders
232,9886619.0,2.0,14474.0,3,2,2,322,7,At Risk
233,11421721.0,7.0,14687.0,4,5,2,452,11,Loyal Visitors
235,7696395.0,6.0,32615.0,2,5,5,255,12,High Spenders
236,12156380.0,4.0,21034.0,5,4,3,543,12,Loyal Visitors
238,11361534.0,2.0,3884.0,4,2,1,421,7,Promising
240,11890023.0,8.0,26079.0,5,5,4,554,14,Champions
241,11677911.0,2.0,32879.0,5,2,5,525,12,High Spenders
242,,,19996.0,,,3,---,3,No Basket History
243,10756778.0,1.0,14867.0,4,1,2,412,7,Promising
244,9791023.0,3.0,6311.0,3,3,1,331,7,Need Attention
245,10173185.0,9.0,13244.0,3,5,1,351,9,Need Attention
248,4464638.0,1.0,11994.0,1,1,1,111,3,Hibernating
249,10903246.0,2.0,16026.0,4,2,2,422,8,Promising
250,1199406.0,1.0,9195.0,1,1,1,111,3,Hibernating
251,4177885.0,1.0,11049.0,1,1,1,111,3,Hibernating
254,11135498.0,3.0,8260.0,4,3,1,431,8,Promising
256,6703133.0,2.0,48976.0,2,2,5,225,9,At Risk
257,11340573.0,7.0,41770.0,4,5,5,455,14,Champions
258,637203.0,1.0,27094.0,1,1,4,114,6,Hibernating
259,4995435.0,1.0,17978.0,1,1,3,113,5,Hibernating
260,11988855.0,5.0,14335.0,5,4,2,542,11,Loyal Visitors
261,286243.0,1.0,38075.0,1,1,5,115,7,At Risk
262,11723490.0,2.0,11516.0,5,2,1,521,8,Promising
263,10259020.0,4.0,27230.0,3,4,4,344,11,High Spenders
264,10765893.0,9.0,15883.0,4,5,2,452,11,Loyal Visitors
265,,,16495.0,,,2,---,2,No Basket History
266,6361927.0,5.0,19717.0,2,4,3,243,9,Need Attention
270,11242145.0,7.0,12481.0,4,5,1,451,10,Loyal Visitors
272,10089701.0,4.0,33477.0,3,4,5,345,12,High Spenders
274,10701839.0,2.0,47788.0,4,2,5,425,11,High Spenders
276,,,25163.0,,,4,---,4,No Basket History
278,10791999.0,4.0,27402.0,4,4,4,444,12,High Spenders
279,,,34561.0,,,5,---,5,No Basket History
280,4862300.0,3.0,29350.0,1,3,4,134,8,Need Attention
282,12180450.0,7.0,13384.0,5,5,2,552,12,Loyal Visitors
283,7026523.0,1.0,17116.0,2,1,2,212,5,Hibernating
284,,,14520.0,,,2,---,2,No Basket History
285,11211239.0,2.0,8436.0,4,2,1,421,7,Promising
286,,,48938.0,,,5,---,5,No Basket History
287,3160750.0,1.0,18701.0,1,1,3,113,5,Hibernating
288,,,14063.0,,,2,---,2,No Basket History
290,11812465.0,4.0,14148.0,5,4,2,542,11,Loyal Visitors
292,11808555.0,6.0,21377.0,5,5,3,553,13,Champions
293,,,11686.0,,,1,---,1,No Basket History
295,10177322.0,6.0,15493.0,3,5,2,352,10,Loyal Visitors
296,11908700.0,1.0,14858.0,5,1,2,512,8,Promising
297,6950473.0,2.0,21426.0,2,2,3,223,7,At Risk
298,10430264.0,16.0,22667.0,4,5,3,453,12,Loyal Visitors
299,11412587.0,7.0,34079.0,4,5,5,455,14,Champions
300,1328552.0,1.0,34550.0,1,1,5,115,7,At Risk
301,8382354.0,3.0,51633.0,2,3,5,235,10,High Spenders
303,11824758.0,10.0,32185.0,5,5,5,555,15,Champions
304,7759041.0,3.0,33327.0,2,3,5,235,10,High Spenders
305,4343466.0,1.0,17027.0,1,1,2,112,4,Hibernating
306,10254554.0,4.0,20746.0,3,4,3,343,10,Loyal Visitors
307,11789632.0,9.0,20839.0,5,5,3,553,13,Champions
308,12098157.0,3.0,18365.0,5,3,3,533,11,Loyal Visitors
310,10418451.0,5.0,43991.0,4,4,5,445,13,Champions
311,3738270.0,1.0,13916.0,1,1,2,112,4,Hibernating
312,9932549.0,2.0,11267.0,3,2,1,321,6,Hibernating
313,9758921.0,8.0,21273.0,3,5,3,353,11,Loyal Visitors
315,1686306.0,2.0,9245.0,1,2,1,121,4,Hibernating
317,522506.0,1.0,18547.0,1,1,3,113,5,Hibernating
321,,,17121.0,,,2,---,2,No Basket History
322,11117237.0,1.0,39761.0,4,1,5,415,10,High Spenders
323,5083128.0,2.0,16779.0,1,2,2,122,5,Hibernating
324,11209865.0,1.0,15659.0,4,1,2,412,7,Promising
325,12012247.0,3.0,49078.0,5,3,5,535,13,Champions
326,9378177.0,2.0,26009.0,3,2,4,324,9,At Risk
328,10144742.0,6.0,15765.0,3,5,2,352,10,Loyal Visitors
329,12071795.0,24.0,22942.0,5,5,3,553,13,Champions
330,7852385.0,2.0,20285.0,2,2,3,223,7,At Risk
331,11801859.0,6.0,21187.0,5,5,3,553,13,Champions
336,9487375.0,7.0,17585.0,3,5,2,352,10,Loyal Visitors
337,,,15351.0,,,2,---,2,No Basket History
338,9870165.0,1.0,24250.0,3,1,4,314,8,At Risk
339,11235392.0,1.0,31056.0,4,1,4,414,9,Promising
340,,,45163.0,,,5,---,5,No Basket History
341,11841593.0,6.0,14854.0,5,5,2,552,12,Loyal Visitors
342,1493748.0,2.0,60208.0,1,2,5,125,8,At Risk
343,8978236.0,2.0,24345.0,3,2,4,324,9,At Risk
344,8313325.0,3.0,38871.0,2,3,5,235,10,High Spenders
346,9460229.0,2.0,4571.0,3,2,1,321,6,Hibernating
347,11186728.0,3.0,20902.0,4,3,3,433,10,Loyal Visitors
350,9264140.0,2.0,25593.0,3,2,4,324,9,At Risk
351,266185.0,1.0,14436.0,1,1,2,112,4,Hibernating
352,9790888.0,7.0,28641.0,3,5,4,354,12,High Spenders
353,6731722.0,1.0,39425.0,2,1,5,215,8,At Risk
355,10371769.0,1.0,27300.0,3,1,4,314,8,At Risk
356,9201183.0,3.0,17320.0,3,3,2,332,8,Need Attention
358,11321559.0,11.0,15555.0,4,5,2,452,11,Loyal Visitors
360,,,18257.0,,,3,---,3,No Basket History
361,,,25411.0,,,4,---,4,No Basket History
362,12063731.0,5.0,19138.0,5,4,3,543,12,Loyal Visitors
363,11703359.0,3.0,24396.0,5,3,4,534,12,High Spenders
364,11482239.0,3.0,26607.0,5,3,4,534,12,High Spenders
365,9992106.0,6.0,8345.0,3,5,1,351,9,Need Attention
366,12019724.0,15.0,18656.0,5,5,3,553,13,Champions
367,6203340.0,4.0,12425.0,2,4,1,241,7,Need Attention
368,6951876.0,1.0,18594.0,2,1,3,213,6,Hibernating
369,4425979.0,2.0,20194.0,1,2,3,123,6,Hibernating
370,5213610.0,1.0,10217.0,1,1,1,111,3,Hibernating
371,11313586.0,1.0,44831.0,4,1,5,415,10,High Spenders
372,8655716.0,2.0,81108.0,2,2,5,225,9,At Risk
373,12177091.0,5.0,51239.0,5,4,5,545,14,Champions
375,9268577.0,3.0,56453.0,3,3,5,335,11,High Spenders
376,9069026.0,1.0,16048.0,3,1,2,312,6,Hibernating
377,6560582.0,2.0,14643.0,2,2,2,222,6,Hibernating
378,9835508.0,4.0,19688.0,3,4,3,343,10,Loyal Visitors
379,7056188.0,1.0,26148.0,2,1,4,214,7,At Risk
381,11712021.0,5.0,13124.0,5,4,1,541,10,Loyal Visitors
382,12011938.0,7.0,12017.0,5,5,1,551,11,Loyal Visitors
383,10233192.0,3.0,34595.0,3,3,5,335,11,High Spenders
384,12136238.0,2.0,13904.0,5,2,2,522,9,Promising
385,3691473.0,1.0,25439.0,1,1,4,114,6,Hibernating
386,,,22819.0,,,3,---,3,No Basket History
387,9254749.0,3.0,23966.0,3,3,4,334,10,High Spenders
389,,,9487.0,,,1,---,1,No Basket History
390,11164030.0,2.0,23754.0,4,2,4,424,10,High Spenders
391,11653347.0,6.0,45075.0,5,5,5,555,15,Champions
392,10188804.0,3.0,10608.0,3,3,1,331,7,Need Attention
393,,,20555.0,,,3,---,3,No Basket History
394,,,20945.0,,,3,---,3,No Basket History
395,,,11222.0,,,1,---,1,No Basket History
396,11431865.0,9.0,14268.0,4,5,2,452,11,Loyal Visitors
397,4746991.0,1.0,28915.0,1,1,4,114,6,Hibernating
398,,,26539.0,,,4,---,4,No Basket History
399,11791431.0,2.0,19444.0,5,2,3,523,10,Loyal Visitors
400,7324092.0,3.0,17200.0,2,3,2,232,7,Need Attention
401,,,6826.0,,,1,---,1,No Basket History
402,10083247.0,1.0,21844.0,3,1,3,313,7,At Risk
403,11982018.0,14.0,8467.0,5,5,1,551,11,Loyal Visitors
405,9965101.0,2.0,22291.0,3,2,3,323,8,At Risk
406,8306622.0,1.0,77864.0,2,1,5,215,8,At Risk
407,11606194.0,3.0,16042.0,5,3,2,532,10,Loyal Visitors
408,11187317.0,5.0,29551.0,4,4,4,444,12,High Spenders
410,9165256.0,5.0,52387.0,3,4,5,345,12,High Spenders
411,10267029.0,1.0,25674.0,3,1,4,314,8,At Risk
412,8399135.0,1.0,22209.0,2,1,3,213,6,Hibernating
413,7897791.0,1.0,31041.0,2,1,4,214,7,At Risk
414,10753022.0,5.0,71394.0,4,4,5,445,13,Champions
416,11149117.0,3.0,16271.0,4,3,2,432,9,Promising
417,12162604.0,13.0,27262.0,5,5,4,554,14,Champions
418,,,17403.0,,,2,---,2,No Basket History
419,11462170.0,6.0,26733.0,5,5,4,554,14,Champions
420,10525182.0,3.0,14466.0,4,3,2,432,9,Promising
421,11485176.0,6.0,27279.0,5,5,4,554,14,Champions
422,8780027.0,4.0,28173.0,2,4,4,244,10,High Spenders
424,3262731.0,1.0,9944.0,1,1,1,111,3,Hibernating
425,7857083.0,1.0,13049.0,2,1,1,211,4,Hibernating
426,3795518.0,1.0,20758.0,1,1,3,113,5,Hibernating
427,10984238.0,3.0,16231.0,4,3,2,432,9,Promising
428,12169521.0,3.0,38335.0,5,3,5,535,13,Champions
429,3034113.0,1.0,36966.0,1,1,5,115,7,At Risk
431,5519628.0,2.0,31640.0,1,2,4,124,7,At Risk
432,9491533.0,4.0,20425.0,3,4,3,343,10,Loyal Visitors
434,,,14286.0,,,2,---,2,No Basket History
435,8237259.0,2.0,34896.0,2,2,5,225,9,At Risk
436,4801313.0,1.0,16364.0,1,1,2,112,4,Hibernating
437,9454812.0,6.0,40981.0,3,5,5,355,13,Champions
438,11850031.0,6.0,40160.0,5,5,5,555,15,Champions
440,12225673.0,2.0,17637.0,5,2,3,523,10,Loyal Visitors
441,8892943.0,9.0,18683.0,3,5,3,353,11,Loyal Visitors
442,,,12339.0,,,1,---,1,No Basket History
443,11702621.0,6.0,20475.0,5,5,3,553,13,Champions
445,3526804.0,1.0,19971.0,1,1,3,113,5,Hibernating
446,6687851.0,2.0,12058.0,2,2,1,221,5,Hibernating
447,8869151.0,1.0,20051.0,3,1,3,313,7,At Risk
448,10393503.0,1.0,23592.0,4,1,4,414,9,Promising
449,9530228.0,4.0,29951.0,3,4,4,344,11,High Spenders
450,9661715.0,5.0,29381.0,3,4,4,344,11,High Spenders
451,9293896.0,1.0,35931.0,3,1,5,315,9,At Risk
452,11679519.0,3.0,44715.0,5,3,5,535,13,Champions
453,10331175.0,2.0,27399.0,3,2,4,324,9,At Risk
455,8365883.0,2.0,54607.0,2,2,5,225,9,At Risk
456,12098411.0,14.0,17735.0,5,5,3,553,13,Champions
457,8547869.0,3.0,15206.0,2,3,2,232,7,Need Attention
460,,,26003.0,,,4,---,4,No Basket History
461,11932728.0,7.0,37722.0,5,5,5,555,15,Champions
462,,,25634.0,,,4,---,4,No Basket History
464,11669486.0,6.0,25724.0,5,5,4,554,14,Champions
465,11169883.0,3.0,27868.0,4,3,4,434,11,High Spenders
467,9113825.0,4.0,16154.0,3,4,2,342,9,Need Attention
469,,,45981.0,,,5,---,5,No Basket History
470,11283323.0,6.0,36568.0,4,5,5,455,14,Champions
471,8564703.0,2.0,9496.0,2,2,1,221,5,Hibernating
472,8613205.0,2.0,21645.0,2,2,3,223,7,At Risk
473,10319369.0,4.0,27169.0,3,4,4,344,11,High Spenders
474,11783589.0,10.0,61718.0,5,5,5,555,15,Champions
475,5841659.0,2.0,12683.0,1,2,1,121,4,Hibernating
476,5696100.0,2.0,53944.0,1,2,5,125,8,At Risk
477,9787624.0,6.0,66045.0,3,5,5,355,13,Champions
479,1940921.0,2.0,22029.0,1,2,3,123,6,Hibernating
480,10873216.0,2.0,21067.0,4,2,3,423,9,Promising
481,11046871.0,2.0,21051.0,4,2,3,423,9,Promising
482,9842895.0,2.0,15709.0,3,2,2,322,7,At Risk
484,11852103.0,1.0,30432.0,5,1,4,514,10,High Spenders
485,7810992.0,1.0,16251.0,2,1,2,212,5,Hibernating
486,,,34761.0,,,5,---,5,No Basket History
487,2882206.0,3.0,23494.0,1,3,4,134,8,Need Attention
488,10371636.0,4.0,49544.0,3,4,5,345,12,High Spenders
489,11511427.0,2.0,47641.0,5,2,5,525,12,High Spenders
490,5686335.0,1.0,24769.0,1,1,4,114,6,Hibernating
491,,,21122.0,,,3,---,3,No Basket History
492,9309834.0,3.0,19256.0,3,3,3,333,9,Need Attention
494,10737509.0,4.0,13920.0,4,4,2,442,10,Loyal Visitors
495,9086789.0,3.0,23334.0,3,3,4,334,10,High Spenders
496,10387402.0,7.0,6126.0,3,5,1,351,9,Need Attention
497,11712902.0,6.0,30550.0,5,5,4,554,14,Champions
498,8840765.0,3.0,21005.0,3,3,3,333,9,Need Attention
499,10728367.0,1.0,9115.0,4,1,1,411,6,Hibernating
501,,,3766.0,,,1,---,1,No Basket History
502,6766828.0,1.0,16730.0,2,1,2,212,5,Hibernating
503,8855610.0,5.0,39474.0,3,4,5,345,12,High Spenders
504,11935279.0,1.0,40243.0,5,1,5,515,11,High Spenders
505,11927303.0,5.0,62182.0,5,4,5,545,14,Champions
506,10978369.0,3.0,18157.0,4,3,3,433,10,Loyal Visitors
508,10086718.0,2.0,78378.0,3,2,5,325,10,High Spenders
509,2875534.0,1.0,25602.0,1,1,4,114,6,Hibernating
510,5701279.0,1.0,16617.0,1,1,2,112,4,Hibernating
511,6275334.0,1.0,12747.0,2,1,1,211,4,Hibernating
513,11670294.0,3.0,14320.0,5,3,2,532,10,Loyal Visitors
514,7350526.0,1.0,45253.0,2,1,5,215,8,At Risk
515,6728616.0,4.0,8382.0,2,4,1,241,7,Need Attention
516,621174.0,2.0,17811.0,1,2,3,123,6,Hibernating
517,11162461.0,4.0,21564.0,4,4,3,443,11,Loyal Visitors
518,7912357.0,4.0,26538.0,2,4,4,244,10,High Spenders
520,7246492.0,2.0,24854.0,2,2,4,224,8,At Risk
521,7039155.0,1.0,30908.0,2,1,4,214,7,At Risk
522,9958528.0,2.0,11082.0,3,2,1,321,6,Hibernating
523,,,19281.0,,,3,---,3,No Basket History
524,2081133.0,1.0,19731.0,1,1,3,113,5,Hibernating
526,11597645.0,5.0,8998.0,5,4,1,541,10,Loyal Visitors
527,9443774.0,2.0,9495.0,3,2,1,321,6,Hibernating
528,5372341.0,2.0,14310.0,1,2,2,122,5,Hibernating
529,9423122.0,1.0,14036.0,3,1,2,312,6,Hibernating
530,11269730.0,5.0,17690.0,4,4,3,443,11,Loyal Visitors
531,3012999.0,2.0,35177.0,1,2,5,125,8,At Risk
532,8778115.0,6.0,31425.0,2,5,4,254,11,High Spenders
533,12074317.0,5.0,16186.0,5,4,2,542,11,Loyal Visitors
534,11693402.0,5.0,47172.0,5,4,5,545,14,Champions
535,11993327.0,10.0,13121.0,5,5,1,551,11,Loyal Visitors
536,11760372.0,3.0,16618.0,5,3,2,532,10,Loyal Visitors
537,9932225.0,6.0,37441.0,3,5,5,355,13,Champions
538,5637831.0,1.0,22940.0,1,1,3,113,5,Hibernating
539,11843452.0,3.0,10055.0,5,3,1,531,9,Promising
540,9665633.0,5.0,8197.0,3,4,1,341,8,Need Attention
541,10253002.0,1.0,13897.0,3,1,2,312,6,Hibernating
542,,,25138.0,,,4,---,4,No Basket History
543,646008.0,1.0,18399.0,1,1,3,113,5,Hibernating
545,7839327.0,1.0,32562.0,2,1,5,215,8,At Risk
547,10863269.0,3.0,15243.0,4,3,2,432,9,Promising
548,5601296.0,1.0,20682.0,1,1,3,113,5,Hibernating
549,7216400.0,3.0,25784.0,2,3,4,234,9,Need Attention
550,9079822.0,3.0,12672.0,3,3,1,331,7,Need Attention
551,6680664.0,3.0,13582.0,2,3,2,232,7,Need Attention
552,10450013.0,2.0,16398.0,4,2,2,422,8,Promising
