customer_id,recency_invoice,frequency,total_spending,R_score,F_score,M_score,RFM_code,RFM_total
79,,,32293.0,,,5,---,5
80,8421656.0,5.0,26243.0,2,4,4,244,10
81,6352272.0,1.0,10218.0,2,1,1,211,4
82,,,12673.0,,,1,---,1
83,11562309.0,4.0,30060.0,5,4,4,544,13
84,11781359.0,14.0,57507.0,5,5,5,555,15
85,11706018.0,3.0,10084.0,5,3,1,531,9
86,10033395.0,1.0,29802.0,3,1,4,314,8
87,9312147.0,3.0,38405.0,3,3,5,335,11
89,12068506.0,6.0,19206.0,5,5,3,553,13
90,11761643.0,4.0,20110.0,5,4,3,543,12
91,1104249.0,3.0,10741.0,1,3,1,131,5
92,763692.0,1.0,17454.0,1,1,2,112,4
94,10900539.0,5.0,11229.0,4,4,1,441,9
95,10344458.0,3.0,20581.0,3,3,3,333,9
97,1434513.0,2.0,18437.0,1,2,3,123,6
100,9956944.0,6.0,13295.0,3,5,1,351,9
102,12166919.0,1.0,17685.0,5,1,3,513,9
103,11216192.0,3.0,25875.0,4,3,4,434,11
105,4968707.0,3.0,57965.0,1,3,5,135,9
106,10806181.0,5.0,26440.0,4,4,4,444,12
107,10884931.0,3.0,29026.0,4,3,4,434,11
108,8408339.0,5.0,19988.0,2,4,3,243,9
109,11382601.0,6.0,20534.0,4,5,3,453,12
110,,,20567.0,,,3,---,3
111,,,30993.0,,,4,---,4
112,11431859.0,2.0,12899.0,4,2,1,421,7
113,,,15936.0,,,2,---,2
114,6436244.0,2.0,12044.0,2,2,1,221,5
115,5122676.0,1.0,39767.0,1,1,5,115,7
116,497417.0,1.0,32239.0,1,1,5,115,7
117,1807464.0,1.0,62683.0,1,1,5,115,7
119,11086275.0,3.0,27933.0,4,3,4,434,11
120,,,22829.0,,,3,---,3
121,11525701.0,5.0,14113.0,5,4,2,542,11
122,7826554.0,2.0,41764.0,2,2,5,225,9
123,11599519.0,6.0,33345.0,5,5,5,555,15
124,10437746.0,5.0,14369.0,4,4,2,442,10
125,11681447.0,1.0,18108.0,5,1,3,513,9
126,,,44916.0,,,5,---,5
127,10300738.0,5.0,45519.0,3,4,5,345,12
128,11065597.0,2.0,28632.0,4,2,4,424,10
129,11353768.0,7.0,18742.0,4,5,3,453,12
130,6189607.0,2.0,11097.0,2,2,1,221,5
131,2236059.0,3.0,17109.0,1,3,2,132,6
132,7439878.0,5.0,22373.0,2,4,3,243,9
134,8785234.0,2.0,16379.0,2,2,2,222,6
135,11125223.0,3.0,27507.0,4,3,4,434,11
136,10531828.0,4.0,14344.0,4,4,2,442,10
137,11973792.0,4.0,7506.0,5,4,1,541,10
138,,,17562.0,,,2,---,2
139,,,21697.0,,,3,---,3
141,12148184.0,4.0,16052.0,5,4,2,542,11
142,4464758.0,1.0,51594.0,1,1,5,115,7
144,10737156.0,1.0,37321.0,4,1,5,415,10
145,8548311.0,2.0,33219.0,2,2,5,225,9
146,6308511.0,2.0,7679.0,2,2,1,221,5
147,5959392.0,2.0,27405.0,1,2,4,124,7
148,5474128.0,1.0,19058.0,1,1,3,113,5
149,8601820.0,1.0,21895.0,2,1,3,213,6
152,,,11132.0,,,1,---,1
154,1236114.0,1.0,22976.0,1,1,3,113,5
157,262686.0,1.0,24835.0,1,1,4,114,6
158,11695574.0,1.0,23254.0,5,1,4,514,10
159,10110098.0,2.0,5117.0,3,2,1,321,6
160,7632173.0,2.0,17115.0,2,2,2,222,6
161,10324560.0,1.0,31384.0,3,1,4,314,8
162,11371290.0,2.0,13825.0,4,2,2,422,8
163,7796462.0,1.0,6864.0,2,1,1,211,4
165,11448340.0,11.0,43718.0,4,5,5,455,14
166,6037460.0,1.0,27398.0,1,1,4,114,6
168,4298327.0,2.0,28767.0,1,2,4,124,7
170,2815027.0,1.0,34709.0,1,1,5,115,7
171,10876533.0,5.0,20197.0,4,4,3,443,11
172,8544678.0,6.0,8878.0,2,5,1,251,8
173,11896596.0,3.0,17252.0,5,3,2,532,10
174,12015176.0,10.0,9228.0,5,5,1,551,11
176,11637460.0,3.0,14202.0,5,3,2,532,10
179,589461.0,1.0,27298.0,1,1,4,114,6
180,9200849.0,3.0,53389.0,3,3,5,335,11
182,9067932.0,4.0,15592.0,3,4,2,342,9
184,2558823.0,2.0,21160.0,1,2,3,123,6
185,11666920.0,8.0,48879.0,5,5,5,555,15
186,10993649.0,3.0,40592.0,4,3,5,435,12
187,,,30939.0,,,4,---,4
188,10535684.0,2.0,17530.0,4,2,2,422,8
189,10689477.0,16.0,19905.0,4,5,3,453,12
191,8991923.0,1.0,11344.0,3,1,1,311,5
192,8550774.0,3.0,11643.0,2,3,1,231,6
193,,,5497.0,,,1,---,1
195,,,10528.0,,,1,---,1
196,8806304.0,2.0,17160.0,3,2,2,322,7
197,322193.0,1.0,22278.0,1,1,3,113,5
198,7643751.0,1.0,29734.0,2,1,4,214,7
199,7582278.0,3.0,8160.0,2,3,1,231,6
200,10637599.0,1.0,50795.0,4,1,5,415,10
201,11764278.0,4.0,39351.0,5,4,5,545,14
202,9015726.0,2.0,25178.0,3,2,4,324,9
203,10492050.0,3.0,16931.0,4,3,2,432,9
204,12175389.0,6.0,31976.0,5,5,4,554,14
205,8837991.0,1.0,24192.0,3,1,4,314,8
206,11712024.0,6.0,21698.0,5,5,3,553,13
207,1717312.0,1.0,36352.0,1,1,5,115,7
208,10972228.0,1.0,39279.0,4,1,5,415,10
210,,,16749.0,,,2,---,2
211,10459458.0,6.0,58270.0,4,5,5,455,14
212,10146269.0,6.0,35212.0,3,5,5,355,13
213,3229012.0,1.0,22881.0,1,1,3,113,5
214,10690228.0,5.0,10806.0,4,4,1,441,9
215,495732.0,1.0,44892.0,1,1,5,115,7
216,8353505.0,2.0,18315.0,2,2,3,223,7
217,,,26031.0,,,4,---,4
218,11313935.0,1.0,5889.0,4,1,1,411,6
219,,,14968.0,,,2,---,2
220,11532506.0,1.0,31636.0,5,1,4,514,10
221,9242814.0,4.0,33602.0,3,4,5,345,12
225,7666450.0,5.0,18002.0,2,4,3,243,9
226,11600762.0,4.0,18759.0,5,4,3,543,12
229,12048338.0,5.0,65451.0,5,4,5,545,14
231,9166147.0,2.0,39835.0,3,2,5,325,10
232,9886619.0,2.0,14474.0,3,2,2,322,7
233,11421721.0,7.0,14687.0,4,5,2,452,11
235,7696395.0,6.0,32615.0,2,5,5,255,12
236,12156380.0,4.0,21034.0,5,4,3,543,12
238,11361534.0,2.0,3884.0,4,2,1,421,7
240,11890023.0,8.0,26079.0,5,5,4,554,14
241,11677911.0,2.0,32879.0,5,2,5,525,12
242,,,19996.0,,,3,---,3
243,10756778.0,1.0,14867.0,4,1,2,412,7
244,9791023.0,3.0,6311.0,3,3,1,331,7
245,10173185.0,9.0,13244.0,3,5,1,351,9
248,4464638.0,1.0,11994.0,1,1,1,111,3
249,10903246.0,2.0,16026.0,4,2,2,422,8
250,1199406.0,1.0,9195.0,1,1,1,111,3
251,4177885.0,1.0,11049.0,1,1,1,111,3
254,11135498.0,3.0,8260.0,4,3,1,431,8
256,6703133.0,2.0,48976.0,2,2,5,225,9
257,11340573.0,7.0,41770.0,4,5,5,455,14
258,637203.0,1.0,27094.0,1,1,4,114,6
259,4995435.0,1.0,17978.0,1,1,3,113,5
260,11988855.0,5.0,14335.0,5,4,2,542,11
261,286243.0,1.0,38075.0,1,1,5,115,7
262,11723490.0,2.0,11516.0,5,2,1,521,8
263,10259020.0,4.0,27230.0,3,4,4,344,11
264,10765893.0,9.0,15883.0,4,5,2,452,11
265,,,16495.0,,,2,---,2
266,6361927.0,5.0,19717.0,2,4,3,243,9
270,11242145.0,7.0,12481.0,4,5,1,451,10
272,10089701.0,4.0,33477.0,3,4,5,345,12
274,10701839.0,2.0,47788.0,4,2,5,425,11
276,,,25163.0,,,4,---,4
278,10791999.0,4.0,27402.0,4,4,4,444,12
279,,,34561.0,,,5,---,5
280,4862300.0,3.0,29350.0,1,3,4,134,8
282,12180450.0,7.0,13384.0,5,5,2,552,12
283,7026523.0,1.0,17116.0,2,1,2,212,5
284,,,14520.0,,,2,---,2
285,11211239.0,2.0,8436.0,4,2,1,421,7
286,,,48938.0,,,5,---,5
287,3160750.0,1.0,18701.0,1,1,3,113,5
288,,,14063.0,,,2,---,2
290,11812465.0,4.0,14148.0,5,4,2,542,11
292,11808555.0,6.0,21377.0,5,5,3,553,13
293,,,11686.0,,,1,---,1
295,10177322.0,6.0,15493.0,3,5,2,352,10
296,11908700.0,1.0,14858.0,5,1,2,512,8
297,6950473.0,2.0,21426.0,2,2,3,223,7
298,10430264.0,16.0,22667.0,4,5,3,453,12
299,11412587.0,7.0,34079.0,4,5,5,455,14
300,1328552.0,1.0,34550.0,1,1,5,115,7
301,8382354.0,3.0,51633.0,2,3,5,235,10
303,11824758.0,10.0,32185.0,5,5,5,555,15
304,7759041.0,3.0,33327.0,2,3,5,235,10
305,4343466.0,1.0,17027.0,1,1,2,112,4
306,10254554.0,4.0,20746.0,3,4,3,343,10
307,11789632.0,9.0,20839.0,5,5,3,553,13
308,12098157.0,3.0,18365.0,5,3,3,533,11
310,10418451.0,5.0,43991.0,4,4,5,445,13
311,3738270.0,1.0,13916.0,1,1,2,112,4
312,9932549.0,2.0,11267.0,3,2,1,321,6
313,9758921.0,8.0,21273.0,3,5,3,353,11
315,1686306.0,2.0,9245.0,1,2,1,121,4
317,522506.0,1.0,18547.0,1,1,3,113,5
321,,,17121.0,,,2,---,2
322,11117237.0,1.0,39761.0,4,1,5,415,10
323,5083128.0,2.0,16779.0,1,2,2,122,5
324,11209865.0,1.0,15659.0,4,1,2,412,7
325,12012247.0,3.0,49078.0,5,3,5,535,13
326,9378177.0,2.0,26009.0,3,2,4,324,9
328,10144742.0,6.0,15765.0,3,5,2,352,10
329,12071795.0,24.0,22942.0,5,5,3,553,13
330,7852385.0,2.0,20285.0,2,2,3,223,7
331,11801859.0,6.0,21187.0,5,5,3,553,13
336,9487375.0,7.0,17585.0,3,5,2,352,10
337,,,15351.0,,,2,---,2
338,9870165.0,1.0,24250.0,3,1,4,314,8
339,11235392.0,1.0,31056.0,4,1,4,414,9
340,,,45163.0,,,5,---,5
341,11841593.0,6.0,14854.0,5,5,2,552,12
342,1493748.0,2.0,60208.0,1,2,5,125,8
343,8978236.0,2.0,24345.0,3,2,4,324,9
344,8313325.0,3.0,38871.0,2,3,5,235,10
346,9460229.0,2.0,4571.0,3,2,1,321,6
347,11186728.0,3.0,20902.0,4,3,3,433,10
350,9264140.0,2.0,25593.0,3,2,4,324,9
351,266185.0,1.0,14436.0,1,1,2,112,4
352,9790888.0,7.0,28641.0,3,5,4,354,12
353,6731722.0,1.0,39425.0,2,1,5,215,8
355,10371769.0,1.0,27300.0,3,1,4,314,8
356,9201183.0,3.0,17320.0,3,3,2,332,8
358,11321559.0,11.0,15555.0,4,5,2,452,11
360,,,18257.0,,,3,---,3
361,,,25411.0,,,4,---,4
362,12063731.0,5.0,19138.0,5,4,3,543,12
363,11703359.0,3.0,24396.0,5,3,4,534,12
364,11482239.0,3.0,26607.0,5,3,4,534,12
365,9992106.0,6.0,8345.0,3,5,1,351,9
366,12019724.0,15.0,18656.0,5,5,3,553,13
367,6203340.0,4.0,12425.0,2,4,1,241,7
368,6951876.0,1.0,18594.0,2,1,3,213,6
369,4425979.0,2.0,20194.0,1,2,3,123,6
370,5213610.0,1.0,10217.0,1,1,1,111,3
371,11313586.0,1.0,44831.0,4,1,5,415,10
372,8655716.0,2.0,81108.0,2,2,5,225,9
373,12177091.0,5.0,51239.0,5,4,5,545,14
375,9268577.0,3.0,56453.0,3,3,5,335,11
376,9069026.0,1.0,16048.0,3,1,2,312,6
377,6560582.0,2.0,14643.0,2,2,2,222,6
378,9835508.0,4.0,19688.0,3,4,3,343,10
379,7056188.0,1.0,26148.0,2,1,4,214,7
381,11712021.0,5.0,13124.0,5,4,1,541,10
382,12011938.0,7.0,12017.0,5,5,1,551,11
383,10233192.0,3.0,34595.0,3,3,5,335,11
384,12136238.0,2.0,13904.0,5,2,2,522,9
385,3691473.0,1.0,25439.0,1,1,4,114,6
386,,,22819.0,,,3,---,3
387,9254749.0,3.0,23966.0,3,3,4,334,10
389,,,9487.0,,,1,---,1
390,11164030.0,2.0,23754.0,4,2,4,424,10
391,11653347.0,6.0,45075.0,5,5,5,555,15
392,10188804.0,3.0,10608.0,3,3,1,331,7
393,,,20555.0,,,3,---,3
394,,,20945.0,,,3,---,3
395,,,11222.0,,,1,---,1
396,11431865.0,9.0,14268.0,4,5,2,452,11
397,4746991.0,1.0,28915.0,1,1,4,114,6
398,,,26539.0,,,4,---,4
399,11791431.0,2.0,19444.0,5,2,3,523,10
400,7324092.0,3.0,17200.0,2,3,2,232,7
401,,,6826.0,,,1,---,1
402,10083247.0,1.0,21844.0,3,1,3,313,7
403,11982018.0,14.0,8467.0,5,5,1,551,11
405,9965101.0,2.0,22291.0,3,2,3,323,8
406,8306622.0,1.0,77864.0,2,1,5,215,8
407,11606194.0,3.0,16042.0,5,3,2,532,10
408,11187317.0,5.0,29551.0,4,4,4,444,12
410,9165256.0,5.0,52387.0,3,4,5,345,12
411,10267029.0,1.0,25674.0,3,1,4,314,8
412,8399135.0,1.0,22209.0,2,1,3,213,6
413,7897791.0,1.0,31041.0,2,1,4,214,7
414,10753022.0,5.0,71394.0,4,4,5,445,13
416,11149117.0,3.0,16271.0,4,3,2,432,9
417,12162604.0,13.0,27262.0,5,5,4,554,14
418,,,17403.0,,,2,---,2
419,11462170.0,6.0,26733.0,5,5,4,554,14
420,10525182.0,3.0,14466.0,4,3,2,432,9
421,11485176.0,6.0,27279.0,5,5,4,554,14
422,8780027.0,4.0,28173.0,2,4,4,244,10
424,3262731.0,1.0,9944.0,1,1,1,111,3
425,7857083.0,1.0,13049.0,2,1,1,211,4
426,3795518.0,1.0,20758.0,1,1,3,113,5
427,10984238.0,3.0,16231.0,4,3,2,432,9
428,12169521.0,3.0,38335.0,5,3,5,535,13
429,3034113.0,1.0,36966.0,1,1,5,115,7
431,5519628.0,2.0,31640.0,1,2,4,124,7
432,9491533.0,4.0,20425.0,3,4,3,343,10
434,,,14286.0,,,2,---,2
435,8237259.0,2.0,34896.0,2,2,5,225,9
436,4801313.0,1.0,16364.0,1,1,2,112,4
437,9454812.0,6.0,40981.0,3,5,5,355,13
438,11850031.0,6.0,40160.0,5,5,5,555,15
440,12225673.0,2.0,17637.0,5,2,3,523,10
441,8892943.0,9.0,18683.0,3,5,3,353,11
442,,,12339.0,,,1,---,1
443,11702621.0,6.0,20475.0,5,5,3,553,13
445,3526804.0,1.0,19971.0,1,1,3,113,5
446,6687851.0,2.0,12058.0,2,2,1,221,5
447,8869151.0,1.0,20051.0,3,1,3,313,7
448,10393503.0,1.0,23592.0,4,1,4,414,9
449,9530228.0,4.0,29951.0,3,4,4,344,11
450,9661715.0,5.0,29381.0,3,4,4,344,11
451,9293896.0,1.0,35931.0,3,1,5,315,9
452,11679519.0,3.0,44715.0,5,3,5,535,13
453,10331175.0,2.0,27399.0,3,2,4,324,9
455,8365883.0,2.0,54607.0,2,2,5,225,9
456,12098411.0,14.0,17735.0,5,5,3,553,13
457,8547869.0,3.0,15206.0,2,3,2,232,7
460,,,26003.0,,,4,---,4
461,11932728.0,7.0,37722.0,5,5,5,555,15
462,,,25634.0,,,4,---,4
464,11669486.0,6.0,25724.0,5,5,4,554,14
465,11169883.0,3.0,27868.0,4,3,4,434,11
467,9113825.0,4.0,16154.0,3,4,2,342,9
469,,,45981.0,,,5,---,5
470,11283323.0,6.0,36568.0,4,5,5,455,14
471,8564703.0,2.0,9496.0,2,2,1,221,5
472,8613205.0,2.0,21645.0,2,2,3,223,7
473,10319369.0,4.0,27169.0,3,4,4,344,11
474,11783589.0,10.0,61718.0,5,5,5,555,15
475,5841659.0,2.0,12683.0,1,2,1,121,4
476,5696100.0,2.0,53944.0,1,2,5,125,8
477,9787624.0,6.0,66045.0,3,5,5,355,13
479,1940921.0,2.0,22029.0,1,2,3,123,6
480,10873216.0,2.0,21067.0,4,2,3,423,9
481,11046871.0,2.0,21051.0,4,2,3,423,9
482,9842895.0,2.0,15709.0,3,2,2,322,7
484,11852103.0,1.0,30432.0,5,1,4,514,10
485,7810992.0,1.0,16251.0,2,1,2,212,5
486,,,34761.0,,,5,---,5
487,2882206.0,3.0,23494.0,1,3,4,134,8
488,10371636.0,4.0,49544.0,3,4,5,345,12
489,11511427.0,2.0,47641.0,5,2,5,525,12
490,5686335.0,1.0,24769.0,1,1,4,114,6
491,,,21122.0,,,3,---,3
492,9309834.0,3.0,19256.0,3,3,3,333,9
494,10737509.0,4.0,13920.0,4,4,2,442,10
495,9086789.0,3.0,23334.0,3,3,4,334,10
496,10387402.0,7.0,6126.0,3,5,1,351,9
497,11712902.0,6.0,30550.0,5,5,4,554,14
498,8840765.0,3.0,21005.0,3,3,3,333,9
499,10728367.0,1.0,9115.0,4,1,1,411,6
501,,,3766.0,,,1,---,1
502,6766828.0,1.0,16730.0,2,1,2,212,5
503,8855610.0,5.0,39474.0,3,4,5,345,12
504,11935279.0,1.0,40243.0,5,1,5,515,11
505,11927303.0,5.0,62182.0,5,4,5,545,14
506,10978369.0,3.0,18157.0,4,3,3,433,10
508,10086718.0,2.0,78378.0,3,2,5,325,10
509,2875534.0,1.0,25602.0,1,1,4,114,6
510,5701279.0,1.0,16617.0,1,1,2,112,4
511,6275334.0,1.0,12747.0,2,1,1,211,4
513,11670294.0,3.0,14320.0,5,3,2,532,10
514,7350526.0,1.0,45253.0,2,1,5,215,8
515,6728616.0,4.0,8382.0,2,4,1,241,7
516,621174.0,2.0,17811.0,1,2,3,123,6
517,11162461.0,4.0,21564.0,4,4,3,443,11
518,7912357.0,4.0,26538.0,2,4,4,244,10
520,7246492.0,2.0,24854.0,2,2,4,224,8
521,7039155.0,1.0,30908.0,2,1,4,214,7
522,9958528.0,2.0,11082.0,3,2,1,321,6
523,,,19281.0,,,3,---,3
524,2081133.0,1.0,19731.0,1,1,3,113,5
526,11597645.0,5.0,8998.0,5,4,1,541,10
527,9443774.0,2.0,9495.0,3,2,1,321,6
528,5372341.0,2.0,14310.0,1,2,2,122,5
529,9423122.0,1.0,14036.0,3,1,2,312,6
530,11269730.0,5.0,17690.0,4,4,3,443,11
531,3012999.0,2.0,35177.0,1,2,5,125,8
532,8778115.0,6.0,31425.0,2,5,4,254,11
533,12074317.0,5.0,16186.0,5,4,2,542,11
534,11693402.0,5.0,47172.0,5,4,5,545,14
535,11993327.0,10.0,13121.0,5,5,1,551,11
536,11760372.0,3.0,16618.0,5,3,2,532,10
537,9932225.0,6.0,37441.0,3,5,5,355,13
538,5637831.0,1.0,22940.0,1,1,3,113,5
539,11843452.0,3.0,10055.0,5,3,1,531,9
540,9665633.0,5.0,8197.0,3,4,1,341,8
541,10253002.0,1.0,13897.0,3,1,2,312,6
542,,,25138.0,,,4,---,4
543,646008.0,1.0,18399.0,1,1,3,113,5
545,7839327.0,1.0,32562.0,2,1,5,215,8
547,10863269.0,3.0,15243.0,4,3,2,432,9
548,5601296.0,1.0,20682.0,1,1,3,113,5
549,7216400.0,3.0,25784.0,2,3,4,234,9
550,9079822.0,3.0,12672.0,3,3,1,331,7
551,6680664.0,3.0,13582.0,2,3,2,232,7
552,10450013.0,2.0,16398.0,4,2,2,422,8
553,,,43575.0,,,5,---,5
554,12147572.0,1.0,14096.0,5,1,2,512,8
556,7015336.0,3.0,42358.0,2,3,5,235,10
557,11655696.0,4.0,27427.0,5,4,4,544,13
558,,,24712.0,,,4,---,4
559,9624869.0,3.0,25006.0,3,3,4,334,10
561,5421145.0,1.0,19987.0,1,1,3,113,5
562,5117691.0,3.0,39737.0,1,3,5,135,9
563,,,12191.0,,,1,---,1
565,,,13924.0,,,2,---,2
566,3443065.0,1.0,15238.0,1,1,2,112,4
568,7470120.0,2.0,17420.0,2,2,2,222,6
569,11628641.0,5.0,11196.0,5,4,1,541,10
570,4701453.0,1.0,61800.0,1,1,5,115,7
571,11431615.0,3.0,38615.0,4,3,5,435,12
573,7661160.0,5.0,28027.0,2,4,4,244,10
574,3716870.0,1.0,13736.0,1,1,2,112,4
575,5681106.0,1.0,20659.0,1,1,3,113,5
576,,,53213.0,,,5,---,5
577,6611846.0,1.0,13027.0,2,1,1,211,4
578,11763369.0,9.0,27933.0,5,5,4,554,14
579,1175525.0,1.0,29273.0,1,1,4,114,6
580,11424464.0,3.0,55650.0,4,3,5,435,12
581,10906572.0,1.0,24199.0,4,1,4,414,9
582,11889589.0,8.0,53112.0,5,5,5,555,15
583,,,13568.0,,,2,---,2
584,8966154.0,5.0,24191.0,3,4,4,344,11
585,1328757.0,1.0,9870.0,1,1,1,111,3
586,,,10994.0,,,1,---,1
587,10933619.0,2.0,16687.0,4,2,2,422,8
588,,,22650.0,,,3,---,3
589,11135395.0,1.0,23427.0,4,1,4,414,9
590,,,20754.0,,,3,---,3
591,,,62896.0,,,5,---,5
592,11156338.0,3.0,15525.0,4,3,2,432,9
593,8983838.0,3.0,11913.0,3,3,1,331,7
594,12185936.0,9.0,14665.0,5,5,2,552,12
595,4764147.0,3.0,46137.0,1,3,5,135,9
596,9443669.0,8.0,28024.0,3,5,4,354,12
597,6871320.0,1.0,20897.0,2,1,3,213,6
598,,,22135.0,,,3,---,3
603,10684302.0,4.0,7788.0,4,4,1,441,9
604,11779841.0,6.0,20548.0,5,5,3,553,13
605,11325979.0,4.0,20613.0,4,4,3,443,11
606,,,17627.0,,,3,---,3
609,,,34106.0,,,5,---,5
611,5791110.0,1.0,12527.0,1,1,1,111,3
613,10781977.0,1.0,24110.0,4,1,4,414,9
614,11269708.0,4.0,12779.0,4,4,1,441,9
615,10530159.0,1.0,34653.0,4,1,5,415,10
617,4484888.0,2.0,12554.0,1,2,1,121,4
618,5238124.0,3.0,8294.0,1,3,1,131,5
619,8538566.0,4.0,23695.0,2,4,4,244,10
621,,,21356.0,,,3,---,3
622,5399506.0,1.0,13444.0,1,1,2,112,4
623,8846756.0,4.0,9544.0,3,4,1,341,8
624,4991622.0,3.0,7578.0,1,3,1,131,5
625,3317890.0,1.0,12741.0,1,1,1,111,3
626,10603283.0,4.0,11428.0,4,4,1,441,9
627,10001963.0,5.0,61050.0,3,4,5,345,12
628,8756050.0,4.0,28953.0,2,4,4,244,10
629,7093650.0,2.0,18231.0,2,2,3,223,7
631,10464187.0,1.0,26478.0,4,1,4,414,9
632,457451.0,1.0,12971.0,1,1,1,111,3
633,2427347.0,2.0,15349.0,1,2,2,122,5
634,8541694.0,1.0,16670.0,2,1,2,212,5
635,8415772.0,3.0,15423.0,2,3,2,232,7
636,,,6149.0,,,1,---,1
637,12170113.0,8.0,5036.0,5,5,1,551,11
638,12008786.0,5.0,27386.0,5,4,4,544,13
639,10685042.0,4.0,49774.0,4,4,5,445,13
640,10011862.0,3.0,22658.0,3,3,3,333,9
641,8635620.0,1.0,30469.0,2,1,4,214,7
642,6201144.0,3.0,15097.0,2,3,2,232,7
643,,,20183.0,,,3,---,3
644,11508473.0,6.0,19364.0,5,5,3,553,13
645,7337415.0,2.0,15271.0,2,2,2,222,6
646,11590488.0,4.0,14609.0,5,4,2,542,11
647,11065662.0,1.0,13472.0,4,1,2,412,7
648,8255022.0,2.0,23338.0,2,2,4,224,8
650,,,13563.0,,,2,---,2
653,,,6750.0,,,1,---,1
654,9850612.0,2.0,38786.0,3,2,5,325,10
655,9724165.0,1.0,27447.0,3,1,4,314,8
656,12070552.0,9.0,40842.0,5,5,5,555,15
657,8413146.0,2.0,16232.0,2,2,2,222,6
658,9210312.0,3.0,40566.0,3,3,5,335,11
659,10976228.0,4.0,12416.0,4,4,1,441,9
660,313067.0,1.0,19720.0,1,1,3,113,5
662,6841924.0,5.0,44209.0,2,4,5,245,11
663,11341806.0,3.0,13277.0,4,3,1,431,8
664,11368396.0,13.0,13530.0,4,5,2,452,11
665,,,12055.0,,,1,---,1
666,5001332.0,1.0,16463.0,1,1,2,112,4
667,,,17113.0,,,2,---,2
668,9886613.0,3.0,10704.0,3,3,1,331,7
669,10161212.0,2.0,7643.0,3,2,1,321,6
670,,,10411.0,,,1,---,1
671,8938082.0,2.0,14440.0,3,2,2,322,7
673,10322211.0,4.0,21102.0,3,4,3,343,10
674,11950031.0,10.0,15414.0,5,5,2,552,12
675,11954150.0,3.0,14724.0,5,3,2,532,10
676,4699698.0,1.0,18509.0,1,1,3,113,5
677,7668454.0,1.0,23255.0,2,1,4,214,7
